 -- FILM's AVERAGE PER COUNTRY -- Mon Oct 11 09:09:16 2021
__________________
('Country:', 'AE', 'Average:', 1.605862068965517, 'Elements:', 870)
('Country:', 'LU', 'Average:', 1.6086597938144334, 'Elements:', 485)
('Country:', 'KG', 'Average:', 1.6254545454545455, 'Elements:', 55)
('Country:', 'LB', 'Average:', 1.6345317725752504, 'Elements:', 1196)
('Country:', 'CL', 'Average:', 1.6489876935291772, 'Elements:', 2519)
('Country:', '\\N', 'Average:', 1.6495916410525089, 'Elements:', 852069)
('Country:', 'NL', 'Average:', 1.6772311678696952, 'Elements:', 27015)
('Country:', 'DZ', 'Average:', 1.693489583333333, 'Elements:', 384)
('Country:', 'MC', 'Average:', 1.6981132075471699, 'Elements:', 53)
('Country:', 'PA', 'Average:', 1.7117647058823529, 'Elements:', 153)
('Country:', 'JO', 'Average:', 1.743918918918919, 'Elements:', 148)
('Country:', 'BJ', 'Average:', 1.75, 'Elements:', 30)
('Country:', 'VC', 'Average:', 1.75, 'Elements:', 4)
('Country:', 'LA', 'Average:', 1.7633333333333332, 'Elements:', 30)
('Country:', 'ML', 'Average:', 1.7633333333333334, 'Elements:', 30)
('Country:', 'SD', 'Average:', 1.7800000000000002, 'Elements:', 30)
('Country:', 'BY', 'Average:', 1.7886699507389159, 'Elements:', 203)
('Country:', 'NE', 'Average:', 1.7947368421052632, 'Elements:', 19)
('Country:', 'ME', 'Average:', 1.7978723404255321, 'Elements:', 47)
('Country:', 'AN', 'Average:', 1.8222222222222224, 'Elements:', 18)
('Country:', 'XKO', 'Average:', 1.8516129032258066, 'Elements:', 62)
('Country:', 'LK', 'Average:', 1.8527696793002926, 'Elements:', 686)
('Country:', 'CA', 'Average:', 1.8612861496849267, 'Elements:', 102041)
('Country:', 'NO', 'Average:', 1.9164870689655173, 'Elements:', 8352)
('Country:', 'BE', 'Average:', 1.927568822023048, 'Elements:', 12496)
('Country:', 'SK', 'Average:', 1.927757216876388, 'Elements:', 1351)
('Country:', 'IR', 'Average:', 1.9431584362139909, 'Elements:', 5832)
('Country:', 'MY', 'Average:', 1.9508529276164122, 'Elements:', 2169)
('Country:', 'SV', 'Average:', 1.9749999999999999, 'Elements:', 48)
('Country:', 'HK', 'Average:', 1.9919328815747026, 'Elements:', 6198)
('Country:', 'FI', 'Average:', 2.036657877641485, 'Elements:', 26169)
('Country:', 'SR', 'Average:', 2.057142857142857, 'Elements:', 14)
('Country:', 'TH', 'Average:', 2.0926188068756306, 'Elements:', 1978)
('Country:', 'XSI', 'Average:', 2.1, 'Elements:', 6)
('Country:', 'PG', 'Average:', 2.1, 'Elements:', 12)
('Country:', 'AU', 'Average:', 2.1156576586086655, 'Elements:', 37892)
('Country:', 'MD', 'Average:', 2.1241379310344826, 'Elements:', 58)
('Country:', 'CZ', 'Average:', 2.126132165822959, 'Elements:', 7309)
('Country:', 'AT', 'Average:', 2.1471093841987616, 'Elements:', 8493)
('Country:', 'AF', 'Average:', 2.162105263157895, 'Elements:', 95)
('Country:', 'CSHH', 'Average:', 2.189858314690531, 'Elements:', 2682)
('Country:', 'AW', 'Average:', 2.2, 'Elements:', 15)
('Country:', 'NP', 'Average:', 2.25379188712522, 'Elements:', 567)
('Country:', 'LS', 'Average:', 2.275, 'Elements:', 8)
('Country:', 'KR', 'Average:', 2.283878023674726, 'Elements:', 7772)
('Country:', 'SA', 'Average:', 2.2990243902439027, 'Elements:', 205)
